match_id,blue_champ_1,blue_champ_2,blue_champ_3,blue_champ_4,blue_champ_5,red_champ_1,red_champ_2,red_champ_3,red_champ_4,red_champ_5,blue_team_won
EUW1_7383354748,Ekko,Gnar,Sivir,Volibear,Zilean,Riven,Shaco,Velkoz,Viego,Yone,0
EUW1_7383442691,Anivia,Pyke,Varus,Viego,Yasuo,Kaisa,Kindred,Malzahar,Nautilus,Volibear,1
EUW1_7383462413,Darius,Irelia,Kaisa,Nautilus,Varus,Annie,Ezreal,Jayce,Taliyah,Volibear,0
EUW1_7383489336,Kaisa,Kennen,Nautilus,Tryndamere,Volibear,Jayce,Lillia,Pyke,Rell,Taliyah,0
EUW1_7383613819,Ashe,Evelynn,Naafiri,Riven,Zoe,Ekko,Jhin,Poppy,Velkoz,Vladimir,1
EUW1_7383627495,Ezreal,Fiora,Kaisa,MonkeyKing,Sylas,Evelynn,Quinn,Swain,Twitch,Yuumi,1
EUW1_7383644638,Hecarim,Janna,Orianna,Twitch,Vladimir,Bard,Jhin,Pantheon,Riven,Taliyah,0
EUW1_7383752164,Ekko,Jhin,Nautilus,Viego,Volibear,DrMundo,Renekton,Twitch,Xerath,Yuumi,1
EUW1_7383768938,Ashe,FiddleSticks,Gwen,Tryndamere,Yone,Chogath,Ezreal,Karma,LeeSin,Taliyah,1
EUW1_7383796527,Akshan,Ambessa,Amumu,FiddleSticks,Jhin,Azir,Bard,Ezreal,Kayle,LeeSin,1
EUW1_7383804577,Ambessa,Galio,Karma,LeeSin,Xayah,Ashe,Fizz,JarvanIV,Kayle,Rell,1
EUW1_7383824606,Briar,Camille,Chogath,Elise,Kaisa,Draven,Leona,Naafiri,Rumble,Taliyah,1
EUW1_7383833203,Camille,Kaisa,Nocturne,Qiyana,Renata,FiddleSticks,Fiora,Jhin,Soraka,TwistedFate,1
EUW1_7383838335,Ambessa,Hwei,Poppy,Talon,Viktor,Akshan,Khazix,Nami,Vladimir,Xayah,1
